memberid,status,signupdate,milesflown,customerid
43567904,Silver,2022-01-01,9473,20276
43567905,None,2024-01-16,3651,5331
43567906,Gold,2022-05-15,8245,17683
43567907,Silver,2021-02-15,659,19665
43567908,Silver,2023-03-03,7742,23930
43567909,None,2023-10-27,7032,45713
43567910,Silver,2021-10-26,1734,15729
43567911,Gold,2021-07-08,5863,6536
43567912,None,2023-04-10,7575,33578
43567913,Silver,2022-01-27,1359,3999
43567914,Silver,2022-01-04,6082,23323
43567915,None,2022-02-26,7227,42293
43567916,Silver,2023-12-18,2459,26438
43567917,None,2024-02-18,1663,2916
43567918,None,2020-05-01,1761,1022
43567919,None,2020-11-13,6909,18823
43567920,Gold,2020-07-08,5694,33517
43567921,Silver,2021-03-02,666,10310
43567922,None,2020-11-22,6623,13620
43567923,None,2021-01-08,3857,34755
43567924,None,2021-04-29,887,30871
43567925,Silver,2020-12-27,3201,6572
43567926,Silver,2020-08-02,6538,27031
43567927,Gold,2021-12-02,8240,6417
43567928,None,2024-05-03,7589,38166
43567929,Silver,2020-08-26,1873,49967
43567930,Silver,2022-01-10,4444,23102
43567931,Silver,2023-05-02,2327,36047
43567932,None,2023-04-14,8509,25126
43567933,Silver,2022-08-17,6271,7629
43567934,Gold,2021-04-05,956,40171
43567935,Gold,2023-06-20,4498,38265
43567936,Silver,2023-06-17,3811,36695
43567937,Silver,2021-03-23,8404,13189
43567938,None,2022-06-29,934,23860
43567939,Gold,2022-06-27,441,16112
43567940,None,2021-01-08,3471,20396
43567941,Silver,2020-09-22,7109,8574
43567942,None,2020-05-02,7356,44639
43567943,None,2020-11-18,3206,16076
43567944,None,2023-04-19,6479,12762
43567945,None,2022-10-25,9801,25911
43567946,None,2024-03-11,1241,3104
43567947,Silver,2023-10-24,86,45339
43567948,Silver,2023-01-19,8350,31722
43567949,Gold,2023-11-30,1360,2398
43567950,Silver,2023-07-22,717,12515
43567951,Silver,2023-04-25,3960,33288
43567952,None,2020-06-15,8742,49451
43567953,Gold,2020-09-28,4550,23258
43567954,Silver,2021-04-04,3212,34943
43567955,Gold,2020-05-28,6821,48238
43567956,None,2022-01-08,2500,33800
43567957,Gold,2022-09-09,3823,2776
43567958,None,2024-05-04,2666,74
43567959,None,2022-10-24,496,11630
43567960,None,2023-05-09,1853,36678
43567961,Gold,2022-08-20,5446,38006
43567962,Gold,2020-06-28,6156,25675
43567963,Silver,2024-01-11,3258,19574
43567964,Gold,2021-05-31,1143,21289
43567965,Silver,2020-10-08,3848,21408
43567966,Gold,2023-05-26,748,937
43567967,Silver,2020-05-26,4480,32861
43567968,Gold,2024-02-02,8874,41288
43567969,Gold,2020-08-25,2621,30749
43567970,Silver,2020-01-30,7075,4033
43567971,Gold,2021-06-09,2511,8984
43567972,None,2020-04-11,3322,49457
43567973,Gold,2022-01-10,7145,29033
43567974,None,2020-04-17,7809,47196
43567975,Gold,2022-12-04,2465,17572
43567976,None,2020-08-17,1029,29699
43567977,Silver,2022-10-14,6578,15090
43567978,None,2023-10-19,2110,20865
43567979,Gold,2020-04-28,1663,28447
43567980,Silver,2023-01-06,6575,9907
43567981,Gold,2023-02-02,1886,43843
43567982,None,2020-07-25,553,15582
43567983,None,2023-08-01,5526,44631
43567984,None,2020-11-29,4902,33806
43567985,Silver,2023-05-25,852,10385
43567986,Gold,2023-02-08,9098,25527
43567987,Silver,2022-03-21,7723,46344
43567988,Silver,2020-08-31,4466,17680
43567989,Silver,2023-12-19,594,29091
43567990,Silver,2023-03-16,150,31592
43567991,Silver,2022-07-03,6687,19267
43567992,Silver,2020-12-09,728,36482
43567993,Silver,2022-12-08,5360,20381
43567994,Gold,2020-03-04,577,34851
43567995,Gold,2023-12-10,6352,7113
43567996,None,2020-03-25,7987,25043
43567997,Gold,2021-09-25,4599,8484
43567998,Gold,2021-01-28,520,45487
43567999,Silver,2022-04-27,2226,1065
43568000,Gold,2023-04-13,9827,14774
43568001,None,2022-04-17,7416,41239
43568002,None,2021-04-23,5389,35371
43568003,None,2023-10-25,3245,11271
43568004,Gold,2022-04-05,6545,14488
43568005,Gold,2020-05-02,811,37209
43568006,Gold,2023-08-01,1586,29516
43568007,Gold,2022-01-21,2926,8478
43568008,Gold,2023-09-17,9942,440
43568009,None,2023-12-11,9360,40602
43568010,Silver,2020-02-22,5530,27184
43568011,Silver,2023-10-26,7750,36843
43568012,Gold,2021-08-16,6829,32243
43568013,Silver,2024-01-15,3777,47613
43568014,Silver,2020-11-02,1920,29776
43568015,Silver,2020-09-21,8740,3043
43568016,Gold,2022-04-18,6629,19997
43568017,Silver,2023-12-08,9773,15874
43568018,None,2023-08-22,1032,45422
43568019,None,2022-11-20,3884,31244
43568020,None,2023-06-29,9180,49299
43568021,Gold,2024-03-13,5570,2462
43568022,Gold,2024-02-01,8431,28424
43568023,Gold,2021-08-22,7886,20438
43568024,None,2023-10-11,2419,41067
43568025,None,2020-10-12,5970,37533
43568026,Silver,2023-04-06,9639,25139
43568027,Silver,2020-10-04,6541,33502
43568028,Gold,2023-10-24,1281,21659
43568029,Gold,2022-12-06,602,39281
43568030,Silver,2023-11-26,3952,4103
43568031,Silver,2021-03-22,6940,16256
43568032,Gold,2023-03-30,4517,8140
43568033,Silver,2021-07-07,2473,23514
43568034,None,2023-04-13,7643,17153
43568035,None,2023-08-15,5969,26203
43568036,Gold,2023-11-24,6603,40432
43568037,Gold,2023-08-22,1106,30314
43568038,Gold,2021-03-25,2877,44223
43568039,Gold,2023-06-18,5354,8183
43568040,Silver,2023-12-31,9997,25288
43568041,None,2021-08-20,8182,12487
43568042,None,2021-06-05,7853,22278
43568043,None,2021-04-30,2745,43736
43568044,Gold,2021-01-15,3226,933
43568045,Gold,2023-06-27,732,27495
43568046,Gold,2023-02-01,6552,22117
43568047,None,2023-12-10,8627,42494
43568048,Silver,2020-11-19,7474,49165
43568049,None,2024-01-08,6468,4593
43568050,Silver,2020-09-16,3730,5795
43568051,Silver,2020-12-08,2621,40964
43568052,Gold,2022-09-28,481,26801
43568053,Silver,2023-04-24,1917,5087
43568054,None,2023-02-10,6688,35320
43568055,None,2022-06-28,6463,3336
43568056,None,2021-01-18,4602,28164
43568057,None,2021-02-21,6876,46842
43568058,Silver,2021-08-15,4969,35647
43568059,None,2021-05-23,2519,16990
43568060,Silver,2020-08-03,4320,31305
43568061,Silver,2022-12-07,6132,24375
43568062,Gold,2020-02-18,3054,13205
43568063,None,2020-07-23,9843,673
43568064,None,2021-04-19,8357,30908
43568065,Gold,2021-01-23,4805,36135
43568066,None,2020-12-04,1702,10742
43568067,Silver,2023-11-12,5032,18402
43568068,None,2021-07-04,3457,36413
43568069,Silver,2023-07-20,9413,31679
43568070,Silver,2021-11-24,7868,44571
43568071,None,2020-03-26,5753,33346
43568072,None,2022-12-18,6810,1528
43568073,Gold,2021-12-03,5231,30240
43568074,Gold,2020-01-25,6503,5609
43568075,Silver,2021-08-13,6636,7400
43568076,None,2024-02-21,213,34363
43568077,None,2020-08-07,1148,4447
43568078,Gold,2023-03-09,4904,8566
43568079,Gold,2021-02-11,8933,8724
43568080,Silver,2020-09-08,3984,39422
43568081,Silver,2024-04-27,2943,47971
43568082,None,2022-11-03,1824,22887
43568083,Gold,2020-03-15,4103,41672
43568084,None,2020-02-23,8497,8485
43568085,Silver,2021-06-12,203,16558
43568086,None,2022-11-19,9757,11499
43568087,None,2021-05-25,8780,10252
43568088,Silver,2023-11-05,2558,29780
43568089,Silver,2021-04-30,9450,27653
43568090,Silver,2021-06-19,3032,23790
43568091,Gold,2020-08-30,5761,45928
43568092,None,2020-04-25,1693,754
43568093,None,2020-02-02,4416,41695
43568094,Gold,2022-05-10,1166,18550
43568095,Silver,2022-04-24,8843,49141
43568096,Silver,2022-06-05,6500,13473
43568097,Silver,2021-10-04,1499,12676
43568098,Silver,2022-04-05,2466,77
43568099,Gold,2020-11-10,2234,41213
43568100,None,2023-10-11,8186,44073
43568101,Silver,2023-05-11,3113,28300
43568102,None,2020-09-14,8684,18225
43568103,None,2020-08-29,6034,33836
43568104,Silver,2024-03-11,2743,38070
43568105,Silver,2023-03-17,1032,5128
43568106,Gold,2022-08-11,9676,37936
43568107,Gold,2022-02-09,6577,32503
43568108,Silver,2024-03-28,8722,15376
43568109,Silver,2021-12-15,9500,49785
43568110,Gold,2020-08-19,2395,37270
43568111,Gold,2021-04-03,222,29473
43568112,None,2024-01-26,2750,2432
43568113,Silver,2023-07-02,2630,680
43568114,Gold,2022-10-10,6272,42871
43568115,Silver,2020-01-06,3676,2232
43568116,Silver,2021-09-07,4945,6362
43568117,Gold,2020-01-12,9682,1821
43568118,Gold,2021-03-17,4936,47871
43568119,None,2020-12-30,5815,30513
43568120,None,2021-12-09,3044,8356
43568121,Silver,2023-12-26,1594,11024
43568122,None,2021-01-06,7671,17732
43568123,Silver,2023-02-22,8168,16790
43568124,Gold,2022-10-10,7354,9627
43568125,Gold,2021-05-08,1282,20531
43568126,Gold,2020-09-20,4940,29068
43568127,Silver,2023-05-31,1017,36947
43568128,None,2021-05-01,476,42292
43568129,Gold,2020-12-02,82,44502
43568130,None,2020-09-21,8641,10
43568131,Silver,2021-02-14,7593,31340
43568132,Gold,2023-02-04,947,26587
43568133,None,2023-02-16,686,34689
43568134,None,2021-06-08,5140,8243
43568135,None,2022-07-10,1017,33121
43568136,Gold,2023-10-05,1650,8038
43568137,Silver,2020-07-25,484,39939
43568138,Gold,2020-05-08,7963,13383
43568139,Gold,2020-06-17,5550,42480
43568140,Silver,2020-11-03,6360,10128
43568141,Silver,2020-09-25,6994,5685
43568142,Silver,2020-03-12,2443,19416
43568143,Gold,2023-01-17,6579,24002
43568144,Silver,2020-06-08,940,17336
43568145,None,2023-05-06,6985,27450
43568146,Silver,2021-02-28,5891,9832
43568147,None,2022-10-25,224,41094
43568148,None,2021-02-15,1719,30221
43568149,Silver,2020-03-07,4711,13074
43568150,None,2022-12-23,5531,38270
43568151,Silver,2020-09-14,8861,4202
43568152,None,2020-05-03,1481,31335
43568153,Silver,2023-01-06,9331,34956
43568154,Silver,2023-09-20,9506,10609
43568155,None,2022-01-03,3861,17008
43568156,Silver,2021-03-22,5840,11618
43568157,Gold,2023-11-04,9748,48288
43568158,Silver,2023-03-08,7594,47763
43568159,Gold,2024-03-19,6498,49604
43568160,None,2022-02-28,8328,16505
43568161,Gold,2022-01-27,8407,48999
43568162,None,2021-05-07,1653,19938
43568163,Silver,2024-02-22,6507,36559
43568164,Gold,2022-09-15,1417,5986
43568165,None,2024-02-01,8580,19581
43568166,Gold,2020-10-09,3938,17243
43568167,None,2023-10-03,5645,49779
43568168,Gold,2021-05-15,777,8031
43568169,Silver,2021-07-09,1823,28201
43568170,Gold,2022-06-17,5243,29147
43568171,Gold,2022-06-13,8796,21662
43568172,None,2022-10-24,5722,33969
43568173,None,2022-09-13,9739,36682
43568174,Silver,2023-09-15,6908,23486
43568175,Gold,2022-11-07,2352,12665
43568176,Gold,2022-03-11,7326,18755
43568177,Gold,2024-01-03,1204,22307
43568178,Silver,2020-04-08,7994,27190
43568179,None,2021-04-09,633,12659
43568180,Silver,2022-12-13,6660,3851
43568181,Silver,2021-02-10,4497,49148
43568182,Gold,2021-10-08,3026,8240
43568183,Silver,2021-04-22,1821,35154
43568184,None,2022-01-17,8662,40894
43568185,None,2021-07-09,6603,33539
43568186,None,2021-12-18,280,9673
43568187,None,2021-01-16,8673,25025
43568188,Silver,2023-10-05,2327,46691
43568189,Gold,2021-07-30,3808,2206
43568190,None,2020-03-20,1170,9125
43568191,None,2021-03-11,5658,30317
43568192,Silver,2023-11-04,3149,7870
43568193,Gold,2021-12-27,3524,48103
43568194,Gold,2021-08-19,4342,28584
43568195,Silver,2021-02-26,6878,32009
43568196,Silver,2021-05-28,1360,24031
43568197,Silver,2022-08-26,1536,13845
43568198,None,2021-08-30,6974,46680
43568199,Silver,2020-12-06,5322,36634
43568200,Silver,2021-12-23,5754,2174
43568201,None,2021-06-14,8476,33952
43568202,None,2022-10-07,8445,10846
43568203,Gold,2020-10-04,5475,14683
43568204,Silver,2021-01-01,1776,44240
43568205,Gold,2023-09-02,497,6361
43568206,Silver,2023-07-04,3855,7943
43568207,Gold,2024-01-11,3876,31277
43568208,Silver,2020-03-11,3602,32863
43568209,Silver,2023-02-09,97,11986
43568210,Gold,2020-02-28,5077,42395
43568211,Silver,2024-02-25,5381,377
43568212,None,2020-10-31,5238,31588
43568213,Silver,2021-05-16,8601,15206
43568214,Gold,2020-01-14,3187,38240
43568215,None,2021-02-05,2363,28943
43568216,Silver,2022-01-03,8209,1034
43568217,Gold,2022-06-29,1079,27696
43568218,None,2023-12-23,8896,32961
43568219,Gold,2021-07-19,3490,43264
43568220,Gold,2020-11-16,1618,14593
43568221,Silver,2023-08-03,9532,4219
43568222,None,2020-07-20,2927,31257
43568223,Silver,2022-09-09,7202,34767
43568224,Silver,2020-11-01,5889,13252
43568225,None,2023-01-23,8173,10145
43568226,Silver,2024-05-06,9066,17403
43568227,None,2023-01-03,9653,23020
43568228,Silver,2020-04-09,6585,39741
43568229,None,2023-05-13,5735,8771
43568230,None,2022-09-08,1517,47086
43568231,Gold,2021-05-13,8788,33375
43568232,None,2023-05-03,1020,48478
43568233,None,2023-08-18,6176,19871
43568234,None,2022-01-24,3086,19517
43568235,Gold,2023-09-18,6059,45578
43568236,Gold,2023-03-25,8824,43061
43568237,Gold,2020-10-03,9490,44084
43568238,Gold,2023-12-18,9511,48867
43568239,Silver,2022-02-28,4921,17279
43568240,None,2022-12-07,7992,17313
43568241,None,2023-10-26,2763,45503
43568242,None,2021-02-22,864,30981
43568243,None,2021-01-19,8689,12793
43568244,Gold,2020-10-27,5262,18765
43568245,None,2023-03-15,4674,6670
43568246,Silver,2023-01-05,8216,42230
43568247,Gold,2022-03-31,9026,44422
43568248,None,2023-06-22,9097,8400
43568249,None,2020-07-29,8746,7204
43568250,None,2021-10-22,7558,30419
43568251,None,2020-01-03,8649,23890
43568252,Gold,2021-05-04,6617,8360
43568253,None,2021-01-21,1492,2910
43568254,None,2020-04-28,2934,17365
43568255,None,2023-04-27,4947,21863
43568256,None,2023-09-13,7073,22636
43568257,Gold,2023-05-12,1677,15363
43568258,None,2022-03-05,2044,2384
43568259,Silver,2023-10-31,4111,1903
43568260,None,2023-04-01,8582,44513
43568261,None,2020-08-04,4456,36558
43568262,Gold,2021-01-27,7771,42764
43568263,Gold,2023-12-27,196,25645
43568264,Gold,2023-11-27,3672,39458
43568265,Silver,2021-06-11,6915,41165
43568266,Gold,2024-02-29,6489,17815
43568267,Gold,2021-11-12,840,9593
43568268,None,2020-08-15,2207,12862
43568269,Silver,2023-02-23,5981,48380
43568270,Silver,2021-05-06,5555,42533
43568271,Silver,2020-01-22,723,23068
43568272,Silver,2022-10-05,9890,25076
43568273,Gold,2022-05-11,6165,35768
43568274,Silver,2024-05-08,5278,14608
43568275,None,2020-01-04,1380,2261
43568276,Gold,2020-01-23,9952,3080
43568277,Silver,2020-01-02,996,9248
43568278,Gold,2022-04-06,6459,14015
43568279,None,2020-06-14,1886,33471
43568280,Silver,2022-03-29,1445,32325
43568281,Silver,2022-05-24,274,4565
43568282,None,2021-02-12,8195,29390
43568283,Gold,2022-02-05,3111,32591
43568284,Silver,2022-11-03,7440,40620
43568285,Silver,2022-06-19,4437,12398
43568286,None,2022-01-05,3937,3935
43568287,Silver,2023-11-13,884,20525
43568288,None,2022-05-02,9976,47677
43568289,Silver,2021-07-29,4890,4259
43568290,Silver,2023-01-01,6658,21196
43568291,None,2020-03-29,883,46726
43568292,None,2020-03-30,9522,29100
43568293,None,2021-04-20,8316,14322
43568294,Gold,2020-12-19,1492,42156
43568295,Silver,2023-03-16,7848,25235
43568296,Gold,2020-08-15,2318,42659
43568297,None,2020-10-09,4045,30243
43568298,Gold,2021-09-16,6362,13739
43568299,Silver,2020-01-01,6959,16032
43568300,Gold,2020-09-02,1975,4225
43568301,Silver,2021-06-15,8849,43448
43568302,Gold,2021-02-14,5458,30049
43568303,None,2021-01-01,7740,28651
43568304,None,2021-02-02,3447,37016
43568305,Gold,2024-02-26,6257,2568
43568306,None,2022-02-09,8200,30873
43568307,None,2020-02-14,9045,1287
43568308,Gold,2020-09-12,8867,18436
43568309,Gold,2023-07-30,7984,46365
43568310,Gold,2024-01-30,7702,34616
43568311,None,2020-03-24,3765,16378
43568312,None,2022-09-28,4903,41410
43568313,None,2022-12-29,4959,37573
43568314,Silver,2020-06-27,3282,25762
43568315,None,2024-04-23,7773,49043
43568316,None,2021-01-02,6504,21522
43568317,Silver,2020-05-27,5442,14544
43568318,None,2023-04-16,5766,48249
43568319,Gold,2023-10-21,3654,24514
43568320,None,2023-06-06,1604,13027
43568321,None,2024-03-20,4496,34503
43568322,None,2021-11-25,2876,25134
43568323,Silver,2021-12-09,4085,14461
43568324,None,2023-02-16,8123,21138
43568325,Silver,2021-05-11,8770,16274
43568326,Gold,2021-02-07,5984,15930
43568327,Silver,2022-06-24,9605,25672
43568328,None,2020-03-18,4263,44078
43568329,Gold,2020-08-14,3012,26764
43568330,Silver,2022-05-18,6721,19793
43568331,Gold,2021-07-26,6646,8413
43568332,Silver,2020-08-06,7719,8639
43568333,None,2023-04-12,6357,24517
43568334,None,2021-01-13,2033,3075
43568335,None,2020-04-23,9161,45266
43568336,Silver,2024-04-03,7961,1822
43568337,Gold,2022-02-28,9969,17221
43568338,Silver,2022-07-02,500,30415
43568339,None,2020-08-08,9171,38479
43568340,Silver,2021-05-22,6254,26560
43568341,Gold,2024-01-01,8971,37370
43568342,Gold,2020-03-09,4473,10168
43568343,Silver,2022-05-30,4577,10875
43568344,Gold,2023-11-19,487,49573
43568345,None,2023-02-19,7074,18200
43568346,Gold,2021-05-08,5769,34838
43568347,None,2021-05-27,3008,1944
43568348,Gold,2023-10-07,8286,36633
43568349,Silver,2020-06-02,9382,31896
43568350,Gold,2023-10-22,8957,20346
43568351,Silver,2020-06-23,4386,10095
43568352,None,2020-12-13,5961,2047
43568353,Silver,2022-06-24,3608,39136
43568354,None,2023-04-05,5025,41166
43568355,Silver,2023-08-26,7790,45833
43568356,None,2024-01-11,6325,34823
43568357,None,2021-03-07,5489,21535
43568358,Gold,2023-09-19,6468,46361
43568359,Gold,2020-08-18,1725,29574
43568360,Gold,2023-08-23,2260,42705
43568361,None,2023-01-18,1149,16661
43568362,Silver,2023-05-16,8655,32082
43568363,Silver,2023-01-20,2346,37795
43568364,Gold,2024-01-16,8175,183
43568365,Gold,2022-05-16,453,551
43568366,Silver,2022-10-30,247,31705
43568367,None,2022-05-16,6130,41131
43568368,None,2022-04-16,1244,18438
43568369,Silver,2020-08-16,2829,31935
43568370,Gold,2024-04-12,1964,41889
43568371,Gold,2022-12-02,6762,40868
43568372,None,2021-01-05,7531,32619
43568373,None,2020-11-26,9134,20550
43568374,Gold,2021-05-07,4422,33689
43568375,None,2020-02-12,2710,11794
43568376,Gold,2021-05-24,1291,18267
43568377,Silver,2023-03-08,5203,1190
43568378,Silver,2023-05-05,4944,42121
43568379,Gold,2021-05-08,3180,46917
43568380,None,2021-06-03,8766,600
43568381,None,2020-06-11,2683,7944
43568382,Silver,2024-02-06,2263,47813
43568383,Silver,2023-09-06,1320,29924
43568384,Gold,2021-03-21,6505,806
43568385,None,2023-09-30,6054,29338
43568386,None,2021-04-03,2616,9664
43568387,Gold,2023-02-11,8463,22150
43568388,None,2021-12-30,1181,16391
43568389,Gold,2021-07-13,7610,90
43568390,None,2023-12-07,6324,29580
43568391,None,2023-10-17,3354,21524
43568392,None,2020-10-31,3090,29192
43568393,Gold,2022-01-25,8106,20045
43568394,Gold,2021-11-10,1680,25744
43568395,Silver,2023-04-16,1334,6835
43568396,Silver,2020-12-18,2,40780
43568397,Gold,2022-11-07,2359,6830
43568398,None,2021-12-07,5440,31165
43568399,Silver,2023-12-26,2840,14056
43568400,Silver,2021-12-08,7200,4415
43568401,None,2022-11-04,3498,17491
43568402,Gold,2021-03-24,4117,19095
43568403,Gold,2021-10-05,2682,17263
43568404,Gold,2021-06-15,889,17688
43568405,None,2023-12-22,4007,27909
43568406,Gold,2023-12-01,9535,6811
43568407,Silver,2021-05-06,4603,44853
43568408,None,2020-02-17,1525,14291
43568409,None,2021-04-03,1101,8972
43568410,Gold,2023-08-25,8353,46346
43568411,None,2020-05-05,5428,2073
43568412,Gold,2023-03-03,9275,6511
43568413,Silver,2021-01-25,3181,18120
43568414,None,2022-04-06,2829,44268
43568415,None,2020-01-12,2012,40668
